Season,Episode,Title,Person1,Person2,Start,End,Duration,Location,Type,Queer,Transactional,NonConsentual,Notes
6,13,Be Free,Alex Vause,Piper Chapman,30:46,30:44,00:02,Litchfield,Kiss/Kissing,1,0,0,
7,1,Beginning of the End,Annalisa Damiva,"Dominga ""Daddy"" Duarte",38:03,38:01,00:02,Litchfield,Penetrative sex (hand),1,0,0,
7,1,Beginning of the End,Aleida Diaz,Cesar Velazquez,28:22,28:05,00:17,Outside,Penetrative sex (penis),0,0,0,
7,1,Beginning of the End,Aleida Diaz,Cesar Velazquez,27:00,26:59,00:01,Outside,Kiss/Kissing,0,0,0,
7,1,Beginning of the End,Larry Bloom,Piper Chapman,25:32,25:26,00:06,Flashback,Penetrative sex (penis),0,0,0,
7,1,Beginning of the End,"Dayanara ""Daya"" Diaz","Dominga ""Daddy"" Duarte",17:30,17:25,00:05,Litchfield,Kiss/Kissing,1,0,0,
7,1,Beginning of the End,Aleida Diaz,Rick Hopper,15:00,14:55,00:05,Outside,Groping/Touching,0,0,1,
7,1,Beginning of the End,Aleida Diaz,Rick Hopper,14:22,14:10,00:12,Outside,"Groping/Touching, Kiss/Kissing",0,0,0,Potentially transactional
7,2,Just Desserts,Aleida Diaz,Rick Hopper,39:17,39:13,00:04,Outside,Groping/Touching,0,0,0,
7,2,Just Desserts,Artesian McCullough,Unnamed Soldier,30:36,30:24,00:12,Flashback,"Groping/Touching, Hand/Finger stimulation (vagina)",0,0,1,
7,2,Just Desserts,Maritza Ramos,Unnamed NBA Player,25:20,25:19,00:01,Outside,Kiss/Kissing,0,0,0,
7,2,Just Desserts,Maritza Ramos,Unnamed NBA Player,24:39,24:37,00:02,Outside,Kiss/Kissing,0,0,0,
7,3,And Brown Is the New Orange,Joe Caputo,Natalie Figueroa,57:50,57:48,00:02,Outside,Kiss/Kissing,0,0,0,
7,3,And Brown Is the New Orange,Blanca Flores,"Dario ""Diablo"" Zuniga",46:18,46:15,00:03,Flashback,Kiss/Kissing,0,0,0,
7,3,And Brown Is the New Orange,Blanca Flores,"Dario ""Diablo"" Zuniga",34:09,34:08,00:01,Flashback,Kiss/Kissing,0,0,0,
7,5,Minority Deport,Aleida Diaz,Rick Hopper,55:22,55:21,00:01,Outside,Kiss/Kissing,0,0,0,Potentially transactional
7,5,Minority Deport,Aleida Diaz,Cesar Velazquez,13:13,13:06,00:07,Outside,Penetrative sex (penis),0,0,0,
